序号,移动/PC端,使用端,所属模块,一级菜单,二级菜单,二级子功能菜单/Tab,原路径,功能说明,功能按钮/权限分类,数据权限描述,备注说明,创建时间,修定时间,,,,,,,,,,,,,,,
,移动,机构端,,,产业地信息管理,-,仓库管理-产业地信息管理,系统底层字典与规则中台。配置组织架构、员工账号角色、业务审批流模板及通知推送策略。,查看(页面)、查看、跟进、编辑,"1、新增数据自动挂靠到创建人员账号所属机构；
2、可见数据根据登录账号角色的数据权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,3.业务办理,业务概览,待处理,-,项目监管-审批-我的待办审批,提供支持供应链金融业务运转的基础配置或操作入口。,查看（页面）、报告设置（待办事项监管报告类型）,,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,已处理,-,项目监管-审批-我的待办审批,提供支持供应链金融业务运转的基础配置或操作入口。,查看（页面）,,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,抄送我的,-,项目监管-审批-我的待办审批,提供支持供应链金融业务运转的基础配置或操作入口。,查看（页面）,,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,我的申请记录,-,项目监管-审批-我的申请管理,提供支持供应链金融业务运转的基础配置或操作入口。,查看（页面）,,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,业务申请记录,-,项目监管-审批-业务申请管理,提供支持供应链金融业务运转的基础配置或操作入口。,查看（页面）,,,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,业务发起,入库发起,-,货物管理-入库-入库,管控资产入场全流程。结合物联网设备（地磅/摄像头）进行收货校验，确认货物落位后将其属性由“社会物流”转为“监管资产”。,查看（页面）,,优化页面,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,移动,机构端,,,出库发起,-,货物管理-出库-出库,执行“先解押、后发货”的硬控逻辑。联动AI防窜货监控，验证提货人身份，在装车出场后实时冲减数字仓单与底层账务。,查看（页面）,,优化页面,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,移动,机构端,,,移库发起,-,货物管理-移库-移库,管理库区内的货位变更作业。通过事前授权与轨迹监控防范“调包/偷换”风险，移位完成后实时更新货品的空间坐标及质押绑定状态。,查看（页面）,,优化页面,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,移动,机构端,,,货物转让,-,货物转让-转让-转让,提供支持供应链金融业务运转的基础配置或操作入口。,查看（页面）,,优化页面,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,移动,机构端,,,仓单开立,-,仓单管理-仓单开立,提供支持供应链金融业务运转的基础配置或操作入口。,查看（页面）,,优化页面,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,移动,机构端,,,抵质押业务办理,-,项目监管-项目发起-抵押信息确认 及 质押信息确认,提供支持供应链金融业务运转的基础配置或操作入口。,查看（页面）,,优化页面,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,,,,,异动申请,-,-,管理库区内的货位变更作业。通过事前授权与轨迹监控防范“调包/偷换”风险，移位完成后实时更新货品的空间坐标及质押绑定状态。,查看（页面）,,优化页面,2026年3月10日,2026年4月14日,,,,,,,,,,,,,,,
,,,,,盘点发起,-,-,支持按总量概盘或按明细盲盘。联动现场PDA或AI视觉进行实地查验，生成电子盘点报告，盘亏自动触发资产预警与熔断限制。,查看（页面）,,,2026年4月14日,2026年4月14日,,,,,,,,,,,,,,,
,移动,机构端,,客户需求审批,客户入库需求,-,项目监管-审批-客户入库需求,基于风控规则和合同校验，对客户提交的入库预约与申请进行业务复核，确认准入货物明细，防范非白名单资产入库。,"查看(页面)、

入库 - 详情、去处理",操作：详情、去处理，根据当前登录用户针对对应任务的权限决定；（C端的申请记录需要登录账号有顶级机构权限才能看，入库详情必须要有对应仓库权限才能看）,5.4.3版本取消,2026年3月10日,,,,,,,,,,,,,,,,
,,,,,客户入库预约,-,查看页面、查看详情、去处理,基于风控规则和合同校验，对客户提交的入库预约与申请进行业务复核，确认准入货物明细，防范非白名单资产入库。,查看页面、查看详情、去处理,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年5月13日,,,,,,,,,,,,,,,,
,移动,机构端,,,客户出库需求,-,项目监管-审批-客户出库需求,系统联动核心风控校验敞口与解押指令，对出库申请进行严格审批，严防无指令出库与敞口跌穿。,"查看(页面)、

出库 - 详情、去处理",操作：详情、去处理，根据当前登录用户针对对应任务的权限决定；（C端的申请记录需要登录账号有顶级机构权限才能看，入库详情必须要有对应仓库权限才能看）,5.4.3版本取消,2026年3月10日,,,,,,,,,,,,,,,,
,,,,,客户出库预约,-,,系统联动核心风控校验敞口与解押指令，对出库申请进行严格审批，严防无指令出库与敞口跌穿。,查看页面、查看详情、去处理,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年5月13日,,,,,,,,,,,,,,,,
,移动,机构端,,,客户融资需求,-,项目监管-审批-客户融资需求,审核客户提交的融资线索与尽调申请，核对底层资产合规性与资信状况，流转至授信放款环节。,查看(页面)、详情、驳回（操作权限+数据状态为未分配可用）、分配/再次分配、审核记录,"有融资申请审核权限的账号可看到所有融资申请信息
根据登录账号针对具体任务的操作权限决定；",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,融资尽调,-,,审核客户提交的融资线索与尽调申请，核对底层资产合规性与资信状况，流转至授信放款环节。,-,,仅作为联登智风控的入口，联登成功后跳转到智风控平台任务列表页面,2026年5月12日,,,,,,,,,,,,,,,,
,移动,机构端,,,客户销售需求,-,项目监管-审批-客户销售需求,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流，支持多级会签、驳回与权限拦截。,查看(页面)、详情、去处理、审核记录,"有菜单权限的账号可看到所有线索；
登录账号的操作权限决定操作权限，且 去处理 按钮还需要根据线索审核状态为已处理则不允许再次处理",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,客户采购需求,-,项目监管-审批-客户采购需求,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流，支持多级会签、驳回与权限拦截。,查看(页面)、详情、去处理、审核记录,"有菜单权限的账号可看到所有采购需求申请；
登录账号的操作权限决定操作权限，且 去处理 按钮还需要根据采购需求申请审核状态为已处理则不允许再次处理",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,其他审批,政策资讯审核,-,项目监管-审批-政策资讯审核, ,查看(页面)、预览、去处理、审核记录,"有菜单权限的账号可看到所有线索；
登录账号的操作权限决定操作权限，且 去处理 按钮还需要根据资讯审核状态为已处理则不允许再次处理",,2026年3月10日,,,,,,,,,,,,,,,,
,移动,机构端,,,贷中风控处理,-,,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流，支持多级会签、驳回与权限拦截。,查看(页面)、去处理,,仅作为联登智风控的入口，联登成功后跳转到智风控平台任务列表页面,2026年5月12日,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
